Product Catgory,Product tag,design house
"肩背包/斜背包 (2),項鍊/墜子 (82),戒指 (37),耳環 (94),手鍊/手環 (44),胸針 (33),手錶 (2),鑰匙圈/鑰匙包 (37),其他 (17),吊飾 (13),抱枕 (1),其他 (1)","
                        ,925, (1),alice, (8),cupcake, (2),cutfing, (48),daisy‬, (1),earring, (4),handmade, (307),keyring, (8),lucky, (1),onlytwo, (7),ring, (4),rose, (3),wood, (81),wood貴賓, (1),下午茶, (2),亮片情侶, (1),企鵝, (1),信封, (1),倫敦, (2),兔, (9),兔子, (2),刺蝟, (3),包裝, (1),北極熊, (4),博美, (3),口紅, (2),可卡, (1),可愛, (32),史迪奇, (1),吉他, (2),吉娃娃, (6),唐老鴨, (1),圓, (3),土星, (1),地鐵, (1),大嘴鳥, (1),大眼怪, (1),大象, (13),太陽眼鏡, (1),女孩, (1),客製化, (4),富士山, (1),小丑, (1),小松鼠, (4),小白袋嘴鳥, (1),小精靈, (1),小紅帽, (2),巴戈, (8),幾何, (17),怪獸大學, (5),情人節, (3),愛心, (7),戒指, (6),手作, (47),手工, (41),手鍊, (2),抱枕, (1),摺紙, (1),日本, (1),星星, (6),星球, (1),暹羅貓, (1),木, (6),木製, (68),松鼠, (5),柯基, (7),柴犬, (7),栗子, (1),梅花, (4),極光, (2),樹枝, (1),樹葉, (1),櫻桃, (1),櫻花, (4),比基尼, (1),毛怪, (1),水滴, (3),流星, (1),浣熊, (2),海獺, (3),無限, (2),熊, (4),熊布偶, (1),熊抱, (1),熱氣球, (3),牛頭梗, (6),牧羊犬, (1),狐狸, (1),狗, (2),獨角獸, (6),玫瑰, (1),琺瑯, (20),甜甜圈, (1),白雪公主, (1),相機, (2),眼鏡, (1),禮品, (14),秋天, (2),科基, (2),穗, (2),立體, (4),童話, (12),簡約, (3),米奇, (1),米格魯, (5),米老鼠, (1),約克夏, (3),紅鶴, (2),純銀, (1),紙鶴, (6),綠頭鴨, (1),綿羊, (1),羊, (2),美人魚, (2),翹鬍子, (1),老虎, (3),耳環, (1),聖誕樹, (2),聖誕節, (7),聖誕老人, (1),肩背包, (2),臘腸, (10),臘腸'狗, (1),芭蕾, (2),英國, (2),英文字母, (2),英鬥, (3),茶壺, (1),草泥馬, (1),草莓, (1),落葉, (1),蘑菇, (3),蛋糕, (1),蜂巢, (5),蜂鳥, (4),蝴蝶, (1),蝶, (1),衛兵, (2),西瓜, (1),象, (1),貓, (20),貓咪, (1),貓咪山羊, (2),貓頭鷹, (6),貴賓, (3),賤狗, (1),迪士尼, (10),金字塔, (1),鋼琴, (1),錶, (1),鑰匙圈吊飾, (16),鑽石, (5),長頸鹿, (2),雛菊, (5),雞, (1),雨傘, (1),雪人, (1),雪納瑞, (5),面具, (4),音符, (1),項鍊, (3),香水, (2),香蕉, (1),馬來貘, (8),馬卡龍, (1),馬戲團, (5),馬爾濟斯, (3),骷顱, (2),骷髏, (3),鬥牛犬, (10),鳥, (1),鳳梨, (2),鴨, (5),鴿子, (1),鵝, (1),鸚鵡, (5),鹿, (4),麋鹿, (2),黃柴, (2),黃金獵犬, (3),黃銅, (6),
                    ",cutfing
"其他 (1),娃娃 (1),淺碟/盤子/餐盤 (1),其他 (2),其他 (2),咖啡 (6),燈具/燈飾 (1),充電器/傳輸線 (13)","
                        ,3c, (1),natural系列, (11),公仔, (14),原味, (4),咖啡, (5),咖啡豆, (6),家電, (1),工藝, (5),手工, (9),掛耳包, (1),新鮮, (5),木製, (5),清潔刷, (4),烘焙, (2),玩偶, (11),玻璃, (1),禮物, (6),紙箱, (11),蛋糕盤, (1),行動電源, (12),電池, (12),電源, (3),飾品, (4),黃銅, (2),
                    ",hyj
"肩背包/斜背包 (1),隨行杯提袋/護套 (2)","
                        ,原創商品, (2),手工製作, (2),特殊尺寸訂製, (1),現貨, (1),限量商品, (1),雙面包, (1),
                    ",adoubao
"肩背包/斜背包 (6),筆盒/筆袋 (1)","
                        ,三層包, (5),帆布, (1),手作, (1),旅行用, (2),牛皮, (1),護照套, (1),
                    ",buchu
"項鍊/墜子 (25),戒指 (1),耳環 (2),手鍊/手環 (5),其他 (2),其他 (3)","
                        ,deco, (27),fakesweets, (24),handmade, (11),lollipop, (5),macaron, (3),可愛, (6),士多啤梨, (5),戒指, (1),手作, (20),手工, (23),手鍊, (1),手鏈, (6),棉花糖, (2),耳環, (1),芝士, (4),薯片, (1),蘋果批, (2),補運費, (3),設計, (3),項鍊, (13),
                    ",jenbrial
"筆記本/手帳 (7),年曆 (1),iPhone 週邊 (7)","
                        ,design, (15),創意, (14),可愛, (14),客製化禮物, (12),手作, (15),手工, (14),故事, (3),設計, (15),
                    ",kenkenism
卡片/明信片 (4),"
                        ,circle, (4),handmade, (4),一支掣工作室, (4),創意, (4),卡片, (4),夢想, (2),手作, (4),手繪, (4),文具, (4),書籤, (4),禮品, (4),設計, (4),
                    ",pencilcreative
"肩背包/斜背包 (1),手提包 (3),零錢包 (8),化妝包/雜物包 (26),其他 (3),項鍊/墜子 (5),戒指 (2),耳環 (7),髮飾 (5),胸針 (8),筆盒/筆袋 (6),牆面裝飾/壁貼 (1)","
                        ,handmade, (75),heart, (3),necklace, (4),present, (67),present　christmas, (1),可愛, (68),可愛　present, (5),可愛　バレッタ, (2),
                    ",tsukiniyorosiku
"項鍊/墜子 (14),戒指 (7),手鍊/手環 (18),其他 (1),卡片/明信片 (1)","
                        ,handmade, (39),創意, (40),咭片, (1),天秤座, (1),天蝎座, (1),天青石, (2),孔雀石, (1),客製化禮物, (33),射手座, (1),尼龍繩, (2),心意咭, (1),戒指, (7),手工, (30),手環, (2),手繩, (3),手鍊, (2),拉長石, (1),旅行, (1),星座, (12),月亮石, (3),東菱玉, (1),橄欖石, (1),海藍寶石, (1),珍珠, (4),琥珀, (1),相片, (1),真皮, (3),石榴石, (1),粉晶, (1),紅瑪瑙, (2),純棉, (3),純銀, (30),紫水瞐, (1),綿繩, (2),藍金沙石, (1),蘚紋瑪瑙, (1),處女座, (1),黑曜石, (1),黑瑪瑙, (3),
                    ",ahanlife
"肩背包/斜背包 (54),化妝包/雜物包 (2),束口後背包 (51),項鍊/墜子 (40),耳環 (19),手鍊/手環 (1)","
                        ,design, (59),handmade, (57),silverbreeze, (57),simple, (40),simple肩背包, (3),simple英國, (1),v形圖案, (7),三角形圖案, (8),二合一, (1),俄羅斯, (2),俄羅斯娃娃, (2),倫敦, (1),兔子, (1),動物, (1),十字架, (1),口唇, (1),可愛, (34),和風女孩, (2),咖啡色, (4),圓形圖案, (1),圓點, (2),報紙, (1),天然石, (2),女孩, (10),娃娃, (5),宴會, (2),小樹苗, (4),小花, (5),小花束, (1),小鳥, (6),布袋, (34),彩色, (3),彩色屋子, (4),彩虹系列, (11),後背包, (51),復古, (16),心形, (1),手作, (29),手提包, (31),手提袋, (3),收納包化妝袋斤斤筆袋, (2),斜背包, (50),斜背袋, (3),日本, (3),星星, (1),木紋圖案, (3),束口包, (54),條子, (5),楓葉, (1),樹葉, (4),樹葉圖案, (2),橙色, (2),民族風情, (3),民族風惰條子, (2),水桶包, (24),淡水珍珠, (1),灰色, (12),玫瑰花, (10),玻璃, (5),玻璃珍珠, (1),珊瑚粉紅, (1),珍珠, (2),珍珠色, (3),珠, (2),環保皮革, (2),生日, (33),白海豚, (1),白色, (13),皇冠, (3),相盒, (7),禮品, (47),禮物, (54),筆袋皮布, (1),簡單, (44),簡約, (42),米　手作, (3),米　藍色手作, (1),粉紅, (2),粉紅色, (5),紅唇, (1),紅色, (6),純銀, (1),結婚, (1),綠色, (3),耳環, (13),耳釘, (7),聖誕禮物, (10),肩背包, (48),自然, (1),芭蕾舞, (1),花, (9),葉子, (4),藍白, (2),藍色, (13),袋子, (24),訂製, (6),貓咪, (4),貓頭鷹, (10),迷彩圖案, (2),通花, (2),通花球, (1),鄉土, (1),金黃, (1),鍍金, (2),鍍銀, (25),鑰匙, (3),長鍊, (14),雀, (5),雪花, (3),電話包, (14),青古銅, (26),項鍊, (30),項鍊　翅膀　女孩, (1),鬍子, (1),鳥, (9),鶴, (1),黃色, (3),黑色, (11),
                    ",silverbreeze
家飾/擺飾 (1),"
                        ,design, (1),台灣, (1),禮品, (1),設計, (1),限量款, (1),
                    ",famasa
