Product Catgory,Product tag,design house
"項鍊/墜子 (4),戒指 (6),耳環 (9),吊飾 (1),家飾/擺飾 (1),燈具/燈飾 (1)","
                        ,digital, (1),fabrication, (1),japan, (1),printer, (1),tokyo, (1),unique, (1),３d, (1),
                    ",fabii
"清潔保養 (7),保養香氛 (11),其他 (1),其他 (1),其他 (1)","
                        ,handmade, (4),natural系列, (7),上班族, (13),不刺激, (7),中性, (10),乾性, (1),乾燥肌膚, (2),乾裂修護, (7),交換禮物, (2),亮白, (4),保濕, (12),保養, (10),保養系列, (3),保養組, (5),修護, (5),冬天, (1),加強保濕, (10),包裝禮物, (1),卸妝, (1),卸妝水, (1),夏季, (1),夏日面膜, (3),夜間修護, (9),大學生, (5),婚禮小物, (2),媽媽, (13),學生, (5),客製化, (3),客製化禮物, (1),小禮物, (1),小資, (8),平衡, (6),彈潤, (4),懶人保養, (10),手工, (1),手工包裝, (3),手工皂, (3),手工面皂, (1),抗老面膜, (1),控油, (2),敏弱肌, (5),敏感肌, (11),晚安凍膜, (1),曬後, (1),植物保養, (7),植萃, (5),油保養, (2),油水平衡, (8),活動禮物, (2),淨痘, (1),清潔組, (1),清爽乳液, (1),溫和滋潤, (3),滋潤乳, (2),滋潤面霜, (3),獨家品, (1),痘痘, (5),白, (1),福袋, (1),禮物, (8),禮物客製, (1),禮物袋, (1),禮盒, (3),秋冬, (1),節慶禮物, (1),節日, (1),簡約, (7),精華, (2),精華液, (1),精華露, (1),緊緻, (1),緊緻面膜, (1),缺水, (3),美白, (5),美白面膜, (1),耶誕禮物, (1),聖誕禮物, (1),聖誕節, (1),聖誕節活動, (1),膠原蛋白, (1),臉部清潔, (5),調理, (1),送禮, (1),鎮定肌膚, (1),關懷商品, (4),關懷產品, (4),面皂, (1),面膜, (1),
                    ",fortwenty
"項鍊/墜子 (25),戒指 (17),耳環 (13),圍巾/絲巾 (3),彌月收涎 (1)","
                        ,創意, (59),圍巾, (3),戒指, (14),手作, (56),手鍊, (1),森林, (12),純銀, (56),耳環, (12),設計, (59),項鍊, (25),
                    ",berubydesign
"肩背包/斜背包 (2),卡片/明信片 (2),紙膠帶 (1),香皂/精油/薰香 (2),其他 (1),甜點 (1),茶 (2),果醬/抹醬 (4),糖果/軟糖 (1),水果乾 (2),乾貨 (3),米/米粉/麵線 (1),其他 (1)","
                        ,diy, (6),便條紙, (1),側背包, (1),創意, (10),吊飾, (1),天然, (13),手工, (12),明信片, (2),書架, (1),有機, (1),桌燈, (1),樸質, (4),無毒, (6),特有, (6),生態, (6),禮品, (21),紙膠帶, (1),背包, (1),茶, (5),蘿蔔乾, (1),設計, (6),集線器, (1),零食, (5),食材, (13),
                    ",lishan
戒指 (1),"
                        ,/, (1),:, (1),black, (1),brass, (1),clear, (1),material, (1),plated, (1),quartz, (1),rhodium, (1),stone, (1),
                    ",ogulee
Missing,Missing,pdl
"卡片/明信片 (42),貼紙 (4),名片座/文件夾 (5),紙膠帶 (1),其他 (1),時鐘/鬧鐘 (1),海報 (1)","
                        ,halloween2015, (1),どら焼き, (1),ねこ, (10),ねこ　野菜, (1),ねこ森, (1),ガーデン, (1),キノコ, (1),ギフト, (2),ケーキ, (1),ドーナッツ, (1),バースデー, (1),プレゼント, (2),リス, (1),三毛貓, (8),三色貓, (11),中正紀念堂, (1),中秋, (1),億載金城, (1),元宵, (1),冰淇淋, (2),制服, (1),南瓜, (1),占卜, (1),卡片, (2),台北, (1),台北101, (1),台南, (1),台式, (2),台灣, (2),周氏蝦捲, (1),哈囉, (1),噴泉, (1),地球, (1),夏, (1),夜貓, (1),夢遊仙境, (1),太空, (1),安平古堡, (1),客房, (1),小木偶, (1),小籠包, (1),小紅帽, (1),小農, (1),尾巴, (1),巧克力, (3),幽默, (2),床單, (1),愛麗絲, (1),扇子, (1),捷運, (1),搖擺, (1),文旦, (1),旅館, (1),暹羅貓, (1),服務, (1),松鼠, (1),林百貨, (1),果實, (1),梳頭, (1),森林, (1),榕園, (1),樹, (1),橘子貓, (2),比薩, (1),氣球, (2),灰虎斑貓, (1),灰貓, (1),照鏡子, (1),燈籠, (1),爆米花, (1),牛仔褲, (1),甜椒, (1),甜甜圈, (1),甜點, (4),生日, (1),番茄, (1),白貓, (12),禪, (1),童話, (4),綠野仙蹤, (1),聖筊, (1),芒果, (2),花, (1),花園, (1),花椰菜, (1),花貓, (6),茶, (1),茶壺, (1),莓果, (1),藍貓, (1),蛋糕, (1),西瓜, (1),誕生日, (1),豆子, (1),貓, (49),貓毛, (1),貓纜, (1),貼紙, (3),赤崁樓, (1),農夫, (1),遊戲, (1),鋼琴, (1),雪人, (1),香菇, (1),香蕉, (1),馬卡龍, (1),驚喜, (1),鬼, (1),魔術, (1),鳳梨, (1),黃白貓, (1),黑白貓, (22),黑貓, (41),點心, (2),
                    ",catophilia
"筆插/筆筒/筆套 (1),磁鐵 (1),其他 (1),杯墊 (23),花器/花藝/植栽 (4),茶具/茶杯 (1),蠟燭/燭台 (1),其他 (1),其他 (1)","
                        ,【情人節】我倆如膠似漆，愛戀久久~, (1),【情人節】這是我想愛你的心~, (1),【母親節】送給媽咪與全家人的時尚設計單品, (1),【父親節】給爸爸一個驚喜, (3),【父親節】親愛的老爸，您辛苦了, (1),你和我…熱戀久久, (2),母親節禮物, (13),燭台, (2),父親節到了，送您一份會讓您會心一笑的禮物, (1),父親節，陪老爸喝一杯茶吧~, (1),環保, (3),生日禮物, (2),聖誕優惠, (14),花器, (1),農曆新年, (1),造型磁鐵, (1),
                    ",kalkidesign
卡片/明信片 (2),"
                        ,design, (1),handmade, (2),postcard, (1),set, (1),可愛, (1),復古, (1),手作, (2),手工, (1),
                    ",postair
"肩背包/斜背包 (11),手提包 (1),後背包 (4),束口後背包 (1),領結 (2),筆盒/筆袋 (1)","
                        ,休闲, (13),可爱, (3),多用, (8),復古, (7),户外, (5),手作, (10),手製, (9),民族, (5),禮品, (2),簡約, (20),藝術, (3),迷你, (2),都会, (12),限量, (4),限量款, (16),
                    ",wefoundit
"皮夾/錢包 (2),肩背包/斜背包 (17),手提包 (7),咖啡杯/馬克杯 (8),水壺 (11),平板/電腦保護套 (6)","
                        ,design, (51),leather, (19),natural系列, (50),vintage, (26),手作, (26),手工, (26),手工皮革, (19),環保, (11),禮物, (3),簡約, (51),設計, (51),購物, (10),郊遊, (14),野餐, (14),隨行杯, (8),
                    ",h-a-n-d
"手提包 (1),卡片/明信片 (4),紙膠帶 (4),印章 (12),其他 (2),iPhone 週邊 (2)","
                        ,印章, (25),客製化禮物, (22),平面設計, (23),手工, (23),明信片, (14),橡皮章, (23),禮物, (23),聖誕節, (7),蓋哪, (24),設計, (25),
                    ",wherecover
"T 恤 (女) (1),肩背包/斜背包 (16),手提包 (2),束口後背包 (8),項鍊/墜子 (5),耳環 (4),髮飾 (1),手鍊/手環 (11),帽子 (24),胸針 (19),鑰匙圈/鑰匙包 (1),卡片/明信片 (6),吊飾 (4)","
                        ,手作, (102),設計, (101),
                    ",daffodil-handmade
"項鍊/墜子 (1),髮飾 (2),其他 (1),家飾/擺飾 (6),花器/花藝/植栽 (2),其他 (3),其他 (1)","
                        ,乾燥花, (16),創意, (11),婚禮, (5),婚禮擺設, (4),婚紗拍攝, (4),客製化禮物, (14),寵物, (3),手作, (14),手工, (8),母親節, (1),畢業禮, (2),禮品, (13),花蝴蝶, (1),設計, (11),謝師禮, (2),配件, (3),開店禮, (1),限量款, (5),項鍊, (1),頭飾, (1),髮夾, (1),髮飾, (1),
                    ",feelingfor
"項鍊/墜子 (2),手鍊/手環 (3),鑰匙圈/鑰匙包 (1),紙膠帶 (1),杯墊 (1)","
                        ,gay, (5),gayparade, (1),gaypride, (8),lgbt, (8),prideparade, (1),rainbow, (7),同志, (8),彩虹, (8),手作, (3),手工, (3),項鍊, (2),
                    ",azure-and-rainbow
"胸針 (1),卡片/明信片 (6)","
                        ,創意, (7),可愛, (6),浣熊, (7),禮物, (6),設計, (7),限量款, (6),
                    ",corinnabear729
"果醬/抹醬 (1),醬料/調味料 (1),其他 (1)","
                        ,handmade, (3),手作, (3),禮物, (3),
                    ",jinpo
"項鍊/墜子 (14),耳環 (23),手鍊/手環 (1)","
                        ,handmade, (37),手作, (37),手工, (34),极简, (26),毛衣链, (7),禮物, (30),簡約, (29),耳环, (4),設計, (35),锁骨链, (11),项链, (11),黑白, (16),
                    ",metooworkshop
"肩背包/斜背包 (4),零錢包 (1),電腦包 (1),後背包 (5),杯墊 (1)","
                        ,不撞款, (10),可愛, (1),客製化, (6),小, (2),後背包, (2),手工, (11),禮物, (11),聖誕, (2),限定, (2),雅痞, (7),麋鹿, (1),
                    ",colord
卡片/明信片 (23),"
                        ,animals, (2),birthday, (4),calendar, (2),chinesenewyear, (1),greetingcard, (14),letterpress, (23),lovecard, (8),mini-card, (9),newborn, (7),sales, (2),動物, (3),卡, (12),小孩, (1),情人節, (7),愛, (9),新年, (1),新生兒, (5),活版印刷, (23),活版印刷月曆, (2),特價, (2),生日卡, (4),羊, (1),迷你活版印刷卡, (10),
                    ",dittoditto
"項鍊/墜子 (3),吊飾 (2)","
                        ,handmade, (5),手作, (5),手工, (5),禮品, (5),禮物, (5),設計, (5),限量款, (5),
                    ",wco
Missing,Missing,3shan
筆記本/手帳 (1),"
                        ,design, (1),handmade, (1),notebook, (1),orange, (1),pattern, (1),style, (1),thai, (1),
                    ",twinklehandmade
肩背包/斜背包 (3),"
                        ,design, (3),handmade, (3),leather, (2),natural系列, (3),vintage, (3),三角形, (1),創意, (3),客製化禮物, (2),手作, (3),手工, (3),手工皮革, (3),欧美, (1),皮革, (1),禮物, (1),簡約, (3),設計, (3),限量款, (1),黑白, (1),
                    ",sheeta
"耳環 (16),髮飾 (5)","
                        ,accessory, (10),design, (10),hairclip, (5),handmade, (10),mizuhiki, (10),mizuhikigirl, (10),イヤリング, (5),タッセル, (1),バレッタ, (5),ピアス, (2),創意, (10),可愛, (10),手作, (10),水引, (10),髪飾り, (5),
                    ",mizuhikigirl
"票夾/隨身夾 (4),筆記本/手帳 (21),卡片/明信片 (10),筆插/筆筒/筆套 (1),磁鐵 (2),其他 (2),DIY 材料包 (2),其他 (4)","
                        ,兒童, (5),公仔, (5),加油, (1),卡套, (1),卡片, (6),原木, (3),專屬禮物, (3),悠遊卡夾, (1),情人, (4),新年快樂, (2),明信片, (6),朋友, (5),樂器, (1),獨一無二, (1),生日, (4),禮物, (7),積木, (2),筆筒, (1),聖誕優惠, (4),音樂, (1),鼓勵, (4),
                    ",whitecube
"T 恤 (女) (2),卡片/明信片 (51),貼紙 (4),名片座/文件夾 (2)","
                        ,cater, (16),halloween2015, (1),map, (2),nicko, (41),t恤, (2),優惠組合, (5),地區限定, (4),明信片, (51),生活用品, (2),節日限定, (9),聖誕節, (5),貼紙, (4),關於旅行, (17),關於職業, (4),
                    ",nickohuang
"項鍊/墜子 (8),家飾/擺飾 (6),牆面裝飾/壁貼 (3),收納用品 (6)","
                        ,cute, (3),dreams, (1),flower, (1),gift, (4),holder, (4),house, (3),jewelry, (3),letter, (1),love, (1),music, (1),night, (2),petals, (1),sailing, (1),singapore, (1),smooth, (1),sweet, (1),wheels, (1),一帆風順, (1),信, (1),可愛, (1),夜晚, (1),夢, (1),屋子, (2),幸運, (1),情人禮物, (5),情書, (1),愛情, (1),新加坡夜景, (1),星星, (1),晚安, (1),月亮, (1),琴譜, (1),禮物, (6),簡約, (4),美夢, (1),耳環收納架子, (4),設計, (5),輪子, (1),音樂, (1),項鍊, (7),項鍊收納架, (1),飾品架, (7),
                    ",wonderri
"針織羊毛氈材料 (19),其他 (9)","
                        ,bnierr, (2),handmade, (26),mierr, (4),俐落生活風, (6),優質生活, (6),創意胸針, (1),單人杯墊, (10),杯墊, (11),民族風, (1),簡約個性風, (2),簡約生活風, (15),簡約禪風, (2),造型別針, (2),針織杯墊, (16),針織餐墊, (6),鑰匙扣, (2),雙人杯墊, (3),餐墊, (6),
                    ",chierrdiary
寵物衣 (12),"
                        ,minion, (1),女生款, (10),學院風, (1),寵物衣, (11),寵物配件, (1),手工, (12),男生款, (4),背開式, (3),限量款, (12),ｌ, (1),ｍ, (1),ｓ, (12),
                    ",inuhatori
卡片/明信片 (5),"
                        ,凸版印刷, (5),喜帖, (5),婚禮, (5),手工, (5),手繪, (5),設計, (5),
                    ",chloewedding
肩背包/斜背包 (8),"
                        ,design, (8),handmade, (8),vintage, (8),創意, (7),可愛, (8),客製化禮物, (7),復古, (7),情人節, (8),手作, (8),手工, (8),手工皮革, (8),皮革, (8),禮品, (8),禮物, (8),簡約, (8),設計, (8),限量款, (8),項鍊, (7),
                    ",dreamcatcherbag
"寵物清潔 (4),其他 (6)","
                        ,design, (10),handmade, (10),natural系列, (10),創意, (10),寵物, (9),手工, (10),禮物, (1),設計, (10),限量款, (2),
                    ",funkytail
"肩背包/斜背包 (5),手提包 (6),卡片/明信片 (1),貼紙 (1)","
                        ,design, (11),handmade, (10),側背包, (2),側背小包, (3),僅製作一個獨一無二, (3),創意, (6),半圓形, (3),卡片, (1),復古, (3),扁平包, (1),手作, (9),手工, (9),手工刺繡, (5),手提袋, (5),手繪, (2),明信片, (1),水桶包, (1),童趣, (2),繽紛, (2),肩背包, (1),設計, (10),貼紙, (1),關於那些畫的故事, (1),
                    ",drop-more
"褲子/下身 (女) (1),洋裝 (6),襯衫 (女) (3),上衣 (女) (2),襯衫 (男) (1)","
                        ,handmade, (12),可愛, (2),復古, (1),手工, (12),提花, (4),格子, (3),條紋, (4),水藍, (5),禮物, (1),窗花, (1),純白, (2),設計, (9),針織, (1),點點, (1),
                    ",what01did
"清潔保養 (19),其他 (1),香皂/精油/薰香 (17),蠟燭/燭台 (5),保養香氛 (14),其他 (12),其他 (2),其他 (6)","
                        ,修護, (15),化妝水, (4),大豆蠟燭, (9),天然, (68),安心, (58),家事, (8),寵物, (3),寶貝, (25),撫紋, (2),曬後, (3),有機, (31),植物萃取, (17),毛孩子, (3),泡澡, (4),洗碗精, (6),淨化, (12),清潔, (17),滾珠棒, (7),無添加, (43),狗, (2),精油, (54),精油蜂蠟蠟燭, (5),精華油, (6),精華液, (3),精華露, (1),綠機花園, (72),美白, (8),艾草, (1),護唇膏, (1),貓, (1),防蚊, (5),除臭, (19),香水, (2),驅蟲, (18),
                    ",greenplus
"肩背包/斜背包 (8),手提包 (2),束口後背包 (2),抱枕 (85),其他 (5),iPhone 週邊 (189)","
                        ,61chi, (2),busy_owl, (10),cat, (2),chi_ou, (8),chichihuang, (19),circus, (1),coffee, (1),cub, (7),d, (1),debe, (4),dessert, (1),dgph, (6),drawcord_backpack, (1),fiona_chien, (1),foorider, (2),glory, (3),gwen, (2),handmade, (121),homedecor, (8),htc, (74),ibbie, (1),iphone, (180),iphone手機殼, (178),jenn.y, (6),jibu_wang, (4),large_tote_bag, (1),leon_lollipop, (7),long_handle_bag, (2),love, (1),mikei, (2),mikei_huang, (3),monster, (2),mushrooms, (3),naho_ogawa, (5),nan_jun, (1),oc, (1),owl, (1),panda, (3),pidang_wu, (10),pomme, (4),ponga, (4),pp, (4),przemek, (10),remember, (1),samsung, (131),secret, (1),sony, (55),t.i., (5),throwpillow, (22),tiramisu, (1),umade, (179),yellow, (1),yoko, (6),上班族, (3),中性, (33),中性設計, (85),京劇, (1),人物, (47),個性, (79),個性調音師, (1),兔子, (9),公雞cock, (1),冬季, (2),冰淇淋, (3),刺蝟, (1),刻名字, (6),動物, (52),午睡枕, (22),南君, (10),卵, (1),原創, (135),可愛cute, (23),台北101, (2),台灣製造, (192),吳廸, (4),咖啡色, (10),嘴巴, (3),圖騰, (3),地中海, (1),塗鴉, (29),夏天, (7),多肉植物, (10),大托特, (1),大理石紋, (1),大白熊, (3),大象, (3),天空, (5),天鵝, (1),天龍國, (1),女友, (26),女孩, (44),女生, (26),好朋友, (40),客製化禮物, (5),家居, (22),家飾品, (64),實用, (56),實用舒適, (1),寵物, (14),寶寶, (2),小丑, (1),小朋友, (1),小王子, (1),小白鯨, (2),少女, (10),居家, (79),布, (9),布窩, (8),帆布包canvasbag, (9),帆船, (1),希臘, (1),幾何, (1),廉恩lian_an, (14),彩色, (14),後背包backpack, (1),復古, (1),情人, (8),情人節, (25),情侶, (5),愛, (1),愛情海, (1),手工, (36),手機保護殼, (174),手機殼, (149),托特包totebag, (8),抱枕, (78),插畫, (178),插畫台灣製造, (3),攝影, (6),攝影photography, (25),攝影作品, (23),斑馬紋, (1),旅行, (5),旅行travel, (7),旅行travel設計, (2),旋轉木馬, (1),日曜日, (4),日本, (3),星星, (3),星空, (4),春天, (4),月光族, (2),朋友, (8),末吉陽子, (4),某人日常, (7),植物, (1),橘色, (2),櫻花, (1),母親, (2),母親節, (6),氣球, (1),氣質, (11),氣質elegant, (38),水彩, (4),水彩畫, (3),水果, (1),水果fruit, (1),水母, (2),沾水筆, (1),派對, (1),流星, (1),海, (6),海水, (2),游泳, (1),滑板, (2),灰色, (5),烏克麗麗, (1),烏雲, (2),煙火, (2),煙霧, (3),熊, (10),熱氣球, (1),父親節, (1),狐狸, (2),狗, (5),狗狗, (4),狼, (2),獨角獸, (1),王幾不, (4),玻書米, (10),甜點, (2),生日, (13),生日禮物, (44),生日蛋糕, (2),男孩, (21),男朋友, (6),男生, (7),白色, (21),直式兩用帆布包, (2),祝福, (1),禮物, (24),秘密, (1),端瑞, (1),粉紅pink, (23),粉紅色, (15),紅色, (11),紫色, (10),綠色, (16),羊, (2),老歌, (1),老虎, (3),老鼠, (1),聖誕禮物, (2),肥鴿, (1),臘腸狗, (1),自然nature, (30),舒適, (15),船, (1),花, (12),花草, (14),英文書法lettering, (4),草莓, (1),莉淇lichi_g., (3),蔡政諭, (12),藍天白雲, (5),藍色, (31),藍色blue, (20),藝術創作, (130),藝術商品, (22),藝術家, (15),藝術家創作, (195),藝術家創作豬pig, (1),蘑菇, (4),街頭文化, (4),裴小馬, (6),訂製, (7),設計, (154),許願, (1),豬pig, (3),貓, (10),貓咪, (11),貓頭鷹, (9),質感, (22),軟殼, (12),轉角遇到愛, (1),透明款, (2),遍地開花, (2),達姆, (3),達爾文, (4),酷, (6),金屬邊框, (10),金屬邊框矽膠軟殼, (21),金屬邊框軟殼, (6),鋼琴, (1),長頸鹿, (2),長頸鹿紋, (1),關鍵字, (1),雨, (2),雨中性, (2),雨傘, (2),雲, (2),青色, (3),韓國, (6),風景scenery, (3),飛行, (2),馬, (2),馬卡龍, (2),馬戲團, (1),驢, (2),骷顱頭, (1),鬆餅, (1),鬱金香, (3),魔笛, (1),魚fish, (1),鯨魚, (1),鳥, (1),鳥bird, (10),鳳梨, (1),鹿, (1),鹿deer, (2),麇鹿, (1),黃思綺, (7),黃暐珊, (9),黃色, (15),黑白black&white, (18),黑色, (21),
                    ",umade
"戒指 (1),耳環 (2),手鍊/手環 (1),胸針 (3)","
                        ,design, (7),handmade, (7),harajuku, (7),kawaii, (2),lego, (2),love, (2),lovely, (2),monster, (3),mushroom, (2),創意, (7),原宿, (6),可愛, (7),天然, (4),怪物, (3),怪獸, (3),戒指, (1),手作, (7),手工, (7),手環, (1),手鍊, (1),扣針, (2),樂器, (1),珍珠, (1),眼, (3),眼睛, (3),禮品, (7),簡約, (1),粉紅, (1),絲花, (2),耳環, (2),胸針, (2),花花, (3),草地, (1),菇, (1),蘑菇, (2),音樂, (1),
                    ",b-go
"其他 (2),其他 (1),甜點 (1),茶 (1),鹹派 (4),醬料/調味料 (2),其他 (1)","
                        ,handmade, (2),natural系列, (10),創意, (4),手作, (5),禮品, (4),禮物, (4),
                    ",claudiakqeen
"化妝包/雜物包 (7),香皂/精油/薰香 (29),保養香氛 (1),其他 (2),包裝材料 (2)","
                        ,christmas, (6),handmade, (38),x'mas, (6),一般肌膚, (24),不傷手, (2),不傷手清潔劑, (1),不傷衣物, (1),不咬手, (1),不殘留, (3),中乾性頭皮, (3),乾性肌膚, (11),乾性頭皮, (1),乾燥肌膚, (4),乾癢肌膚, (7),交換禮物, (5),低敏感, (2),何首烏, (1),佳節禮物, (6),保濕, (5),保濕皂, (1),修護, (3),備長炭, (4),化妝包, (7),去污垢, (2),去角質, (2),可愛, (1),台灣製作, (4),咖啡肥皂, (2),咖啡顆粒, (2),壓力痘, (1),大馬士革玫瑰, (1),天然海綿, (1),女神, (2),好沖洗, (3),姊妹禮, (7),婚禮小物, (5),媽咪寶寶, (3),孕婦, (5),安撫寶寶, (2),寶寶, (2),寶寶專用, (1),寶寶專用洗衣粉, (1),寶寶用, (2),居家清潔, (3),居家清潔碗盤清潔, (1),巨石像, (1),希臘愛琴海, (1),強效, (1),復活節, (2),手工皂, (5),手工禮盒, (9),手工肥皂, (7),手摘, (1),換季保濕, (1),摩艾, (2),收藏, (2),放鬆, (2),敏感性肌膚, (8),敏感肌膚, (5),旅行用, (2),有機玫瑰純露, (1),有機艾草, (2),有機蜂蜜, (2),木頭刷子, (1),森林, (1),植物油, (2),植物油配方, (2),楓木, (1),橄欖油, (3),橄欖皂, (3),死海泥, (5),母乳, (3),母乳皂, (1),毛孔, (1),沐浴配件, (8),沒有味道, (14),沒有味道的肥皂, (20),沒有防腐劑, (5),沒有香味, (24),沒有香味的肥皂, (5),油性肌膚, (9),油性頭皮, (3),洗衣服, (1),洗衣粉, (2),洗頭皂, (1),淺水, (1),清潔, (2),清爽, (2),溫和洗淨, (1),滋潤, (3),滋潤度, (1),潔白, (1),潤膚油, (1),火紅, (3),無香味, (4),無香味添加, (4),無香味肥皂, (7),無香精, (4),熟齡肌膚, (4),珍珠粉, (1),環保, (3),生日禮物, (8),生理痘, (2),男性專屬, (2),痘痘, (2),皂絲, (2),研磨咖啡, (1),神奇, (1),禮物, (29),禮盒, (7),粉刺, (2),粗粒按摩, (2),粗糙肌膚, (2),精緻禮盒, (9),純手工, (4),綠色, (1),維他命e, (1),緊繃肌膚, (3),聖誕禮物, (5),聖誕節, (5),肌膚保濕, (1),肌膚修護, (1),胚布袋, (7),胡蘿蔔素, (3),舒緩, (1),艾草, (1),艾草粉, (2),苦茶籽油, (2),荷荷芭油, (4),莊園咖啡, (1),蜂巢海綿, (1),蜂蜜, (2),蜂蜜皂, (3),衣物清潔, (3),衣領清潔, (1),護手配方, (1),護膚, (2),護膚油, (2),護髮, (1),軟毛刷, (1),輕包裝, (6),酪梨油, (2),限定, (4),限量, (1),隨身包, (7),隨身系列, (6),青春痘, (2),頭皮, (1),頭皮保濕, (3),頭皮保養, (1),頭皮敏感, (1),頭皮油味, (2),頭皮癢, (1),頭皮護理, (6),黃色海綿, (1),鼻頭粉刺, (1),
                    ",greenconut
"甜點 (7),茶 (13),蜂蜜 (3),水果乾 (12),乾貨 (1),其他 (1)","
                        ,䥫觀音, (1),不加糖, (3),低糖, (8),傻妞小牛軋, (2),凍頂烏龍茶, (2),原味, (1),叛逆芒果青, (3),天真小鳳梨, (4),好動小核果, (2),好勝小楊桃, (3),好奇小芒果, (1),婚禮小物, (3),小糖芒果, (3),小超人咸豐草蜂蜜, (1),小超人野放龍眼蜂蜜, (1),小超人野花蜂蜜, (1),抹醬, (2),文山包種茶, (1),東方美人茶, (2),樸實小芭樂, (3),牛仔小乳酪, (5),碧螺春, (1),禮物, (3),禮盒, (2),節日, (2),紅烏龍, (1),紅玉紅茶, (1),蜜香紅茶, (1),蜜香綠茶, (1),調味品, (3),辣味, (2),阿里山高山茶, (1),青淞禾樂四季嚴選茶葉禮盒, (1),飲品, (3),
                    ",greenincheers
"甜點 (15),杯子蛋糕 (1),手工餅乾 (6)","
                        ,中秋節, (1),伴手禮, (1),土鳳梨酥, (1),塔類, (9),手作, (14),手工, (18),手工餅乾, (2),甜食, (17),甜點, (14),
                    ",isweets
"肩背包/斜背包 (6),束口後背包 (2),項鍊/墜子 (1),手鍊/手環 (1),鑰匙圈/鑰匙包 (1),咖啡杯/馬克杯 (5),茶具/茶杯 (1),抱枕 (9),水壺 (2),iPhone 週邊 (12),平板/電腦保護套 (5)","
                        ,design, (3),創意, (9),動物, (5),植物, (1),神秘, (4),簡約, (7),自然, (7),雜貨, (3),
                    ",icon
"香皂/精油/薰香 (3),咖啡杯/馬克杯 (2),保養香氛 (1)","
                        ,design, (6),natural系列, (6),創意, (6),多肉植物, (2),水泥, (2),環保, (2),禮品, (6),禮物, (6),簡約, (5),設計, (4),
                    ",green-idea
"家飾/擺飾 (3),花器/花藝/植栽 (2),其他 (1)","
                        ,design, (6),handmade, (6),創意, (6),手作, (6),手工, (6),簡約, (6),設計, (6),
                    ",leglass
"化妝包/雜物包 (1),其他 (1),筆記本/手帳 (2),卡片/明信片 (4),家飾/擺飾 (5),陶器/陶飾 (3),隨行杯提袋/護套 (1),蠟燭/燭台 (1),桌墊/餐桌裝飾 (1),其他 (1),水壺 (3),其他 (1)","
                        ,免運, (1),公益寫真, (3),創作, (7),創意, (4),吸水杯墊, (7),客製化, (2),寵物, (2),幾何, (1),影像, (3),愛心義賣, (1),擺設, (3),攝影, (2),明信片, (4),木製, (1),母親節, (1),狗狗, (2),禮品, (3),禮物, (4),筆記本, (2),花, (2),藝人聯名, (4),藝術, (6),蘋果, (1),裝飾, (4),設計, (1),設計藝術, (2),陶瓷杯墊, (9),隨身方鏡, (2),隨身瓶, (4),隨身鏡, (1),面紙盒, (2),
                    ",lingo-pictour
"肩背包/斜背包 (33),零錢包 (1),後背包 (9),束口後背包 (4),iPhone 週邊 (9)","
                        ,3c・家電, (9),即黑即白, (12),原創設計, (26),幾何漾, (1),復古, (22),愛動物, (12),日系作, (2),燈芯絨後背包, (6),燈芯絨斜跨包袋, (5),絨布款單肩包, (4),
                    ",8md
髮飾 (16),"
                        ,birdcageveil, (2),bridalhairaccessories, (15),bridalhairpiece, (14),bridalheadpiece, (16),bridalveil, (3),bride, (6),goldheadpiece, (3),hair, (16),hairaccessory, (16),headband, (8),miniveil, (1),party, (5),partyheadband, (5),partyheadpiece, (5),silverheadpiece, (1),veil, (2),wedding, (13),weddingveil, (1),新娘面紗, (1),新娘頭飾, (14),水晶, (11),珍珠, (12),皇冠, (1),面紗, (3),頭飾, (14),髮飾, (14),
                    ",downtheaisleatelier
"肩背包/斜背包 (17),手提包 (1),零錢包 (12),晚宴包/手拿包 (1),化妝包/雜物包 (4),束口後背包 (5),其他 (2),項鍊/墜子 (2),手鍊/手環 (1),帽子 (9),鑰匙圈/鑰匙包 (1),筆記本/手帳 (10),其他 (1),媽媽包 (1),廚具 (2)","
                        ,側背包, (9),充電器收納, (3),兒童, (3),公平貿易, (1),卡夾, (3),台南, (35),台南帆布包, (28),天然材質, (3),後背包, (1),情人, (4),情人禮物, (31),情人節, (11),手作, (30),手拿包, (9),手環, (1),抗uv, (4),收納包, (17),文具, (9),新年, (1),旅行, (32),旅行袋, (9),旅行餐具餐墊, (1),晚宴包, (1),書籤, (10),書衣, (10),束口後背包, (4),松鼠, (2),檸檬黃, (1),漁夫帽, (5),牛皮, (3),畫家帽, (1),皮夾, (1),真皮, (4),禮物, (17),童裝, (1),筆記本, (10),紅包, (1),紅白點, (1),背包, (1),藍白條紋, (1),護照夾, (7),遮陽, (9),鑰匙圈, (4),防曬, (9),防水, (4),零錢包, (14),鳳凰花, (2),黑白點, (1),
                    ",layoo
"項鍊/墜子 (4),戒指 (15),耳環 (4),手鍊/手環 (1)","
                        ,design, (6),handmade, (5),天然石系列, (8),客製化, (7),對戒, (2),情人節禮物, (6),手作, (4),拉長石, (5),月亮, (1),生日禮物, (22),禮物, (24),粉晶, (2),紀念款, (7),純銀系列, (7),聖誕節, (11),藍晶石, (1),設計, (11),限量, (9),
                    ",re-sofastudio
